,Suburb 2013,Number-2013
1,Blacktown,823
2,Auburn,817
3,Bankstown,730
4,Merrylands,621
5,Orange,576
6,Dubbo,559
7,Parramatta,529
8,Liverpool,528
9,Guildford,503
10,Randwick,475
11,Quakers Hill,459
12,Hurstville,447
13,Tamworth,444
14,Port Macquarie,443
15,Maroubra,442
16,Wagga Wagga,436
17,Baulkham Hills,431
18,Lakemba,429
19,Dee Why,415
20,Castle Hill,401
21,Marrickville,387
22,Ashfield,377
23,Greenacre,375
24,Punchbowl,369
25,Campsie,357
26,Granville,353
27,Westmead,351
28,Mosman,351
29,Fairfield,344
30,Hornsby,335
31,Greystanes,330
32,Cabramatta,326
33,Chatswood,321
34,Ryde,314
35,Lidcombe,310
36,Coffs Harbour,309
37,Manly,307
38,Leichhardt,300
39,Coogee,296
40,Caringbah,295
41,Yagoona,292
42,Kogarah,284
43,Wentworthville,280
44,Bexley,280
45,Cronulla,275
46,Seven Hills,272
47,Glenmore Park,272
48,Armidale,267
49,Griffith,266
50,St Clair,265
51,Kellyville,262
52,Strathfield,260
53,Cranebrook,257
54,Bondi,248
55,Lane Cove,243
56,Engadine,240
57,St Marys,239
58,Epping,234
59,Carlingford,233
60,Wiley Park,229
61,Prestons,225
62,Rockdale,224
63,Kellyville Ridge,224
64,Goulburn,224
65,Belmore,220
66,Dulwich Hill,219
67,Ingleburn,217
68,Bathurst,215
69,Casula,214
70,Balmain,214
71,Toongabbie,211
72,Sydney,210
73,Eastwood,210
74,Glenwood,207
75,Paddington,205
76,Charlestown,205
77,Miranda,204
78,Mascot,203
79,Rhodes,199
80,Marsfield,199
81,The Ponds,198
82,Doonside,198
83,Condell Park,198
84,Rooty Hill,197
85,Sutherland,196
86,Padstow,196
87,Raymond,194
88,Earlwood,193
89,Muswellbrook,192
90,Rutherford,191
91,Neutral Bay,191
92,Chester Hill,191
93,Albion Park,191
94,Wollongong,190
95,Penrith,190
96,North,189
97,Cremorne,189
98,Mount Druitt,186
99,Drummoyne,180
100,Broken Hill,180
